userType|date|users|sessions|bounceRate|avgSessionDuration|goalConversionRateAll|pageviews
New Visitor|20150609|656|656|0.0|1022.6875|0.0|9307
Returning Visitor|20150609|776|815|9.815950920245399|1141.4073619631902|0.0|13404
New Visitor|20150610|517|517|0.0|777.5106382978723|3.8684719535783367|6821
Returning Visitor|20150610|756|795|7.547169811320755|949.0654088050314|5.031446540880504|10540
New Visitor|20150611|636|636|0.0|1236.4559748427673|0.0|8134
Returning Visitor|20150611|795|776|2.5773195876288657|947.5721649484536|0.0|8989
New Visitor|20150612|298|298|0.0|1120.2046979865772|0.0|4673
Returning Visitor|20150612|636|676|0.0|1278.3476331360946|2.9585798816568047|9665
New Visitor|20150613|358|358|0.0|1242.427374301676|0.0|6563
Returning Visitor|20150613|398|438|0.0|1150.986301369863|0.0|6602
New Visitor|20150614|517|517|0.0|1388.8104448742747|0.0|8412
Returning Visitor|20150614|597|616|3.2467532467532463|1143.2353896103896|6.493506493506493|10242
New Visitor|20150615|577|577|0.0|872.4020797227037|0.0|6244
Returning Visitor|20150615|756|835|7.18562874251497|1225.768862275449|0.0|16128
New Visitor|20150616|736|736|0.0|772.4796195652174|2.717391304347826|8114
Returning Visitor|20150616|855|875|0.0|1197.7565714285715|2.2857142857142856|14418
New Visitor|20150617|696|696|0.0|1117.8922413793102|0.0|10401
Returning Visitor|20150617|815|835|2.3952095808383236|1636.128143712575|0.0|19668
New Visitor|20150618|557|557|0.0|1006.3752244165171|3.5906642728904847|7597
Returning Visitor|20150618|835|895|0.0|1339.441340782123|2.2346368715083798|15532
New Visitor|20150619|418|418|0.0|973.7894736842105|0.0|6881
Returning Visitor|20150619|338|358|0.0|1176.268156424581|0.0|7020
New Visitor|20150620|338|338|0.0|1147.5532544378698|0.0|6304
Returning Visitor|20150620|438|537|7.4487895716946|790.512104283054|0.0|8074
New Visitor|20150621|179|179|11.1731843575419|466.2849162011173|0.0|1571
Returning Visitor|20150621|398|418|0.0|1005.9043062200957|9.569377990430622|6145
New Visitor|20150622|616|616|3.2467532467532463|1057.3603896103896|0.0|9148
Returning Visitor|20150622|1134|1173|0.0|953.8397271952259|0.0|16765
New Visitor|20150623|497|497|0.0|1312.0120724346077|0.0|7298
Returning Visitor|20150623|895|895|0.0|1055.936312849162|4.4692737430167595|14458
New Visitor|20150624|517|517|0.0|1032.3094777562862|0.0|6185
Returning Visitor|20150624|696|696|0.0|1084.691091954023|0.0|11336
New Visitor|20150625|517|517|0.0|1042.963249516441|0.0|7080
